"","","xout"
"462",2.013,34380
"463",1.983,34390
"464",1.953,34400
"465",1.95865714285714,34410
"466",2.0178,34420
"467",2.07694285714286,34430
"468",2.13608571428571,34440
"469",2.14305882352941,34450
"470",2.14423529411765,34460
"471",2.14541176470588,34470
"472",2.09372727272727,34480
"473",1.98918181818182,34490
"474",1.88463636363636,34500
"475",1.78009090909091,34510
"476",1.67554545454545,34520
"477",1.571,34530
"478",1.46645454545455,34540
"479",1.47921052631579,34550
"480",1.505,34560
"481",1.53078947368421,34570
"482",1.55657894736842,34580
"483",1.58236842105263,34590
"484",1.61328070175439,34600
"485",1.66468421052632,34610
"486",1.71608771929825,34620
"487",1.76749122807018,34630
"488",1.81889473684211,34640
"489",1.87029824561403,34650
"490",1.87393103448276,34660
"491",1.82979310344828,34670
"492",1.78565517241379,34680
"493",1.74151724137931,34690
"494",1.69737931034483,34700
"495",1.65324137931034,34710
"496",1.64613698630137,34720
"497",1.65490410958904,34730
"498",1.66367123287671,34740
"499",1.67243835616438,34750
"500",1.68120547945205,34760
"501",1.68997260273973,34770
"502",1.6987397260274,34780
"503",1.68,34790
"504",1.62,34800
"505",1.56,34810
"506",1.5,34820
"507",1.44,34830
"508",1.4218,34840
"509",1.4454,34850
"510",1.469,34860
"511",1.4926,34870
"512",1.5162,34880
"513",1.53536842105263,34890
"514",1.55010526315789,34900
"515",1.56484210526316,34910
"516",1.57957894736842,34920
"517",1.59431578947368,34930
"518",1.60905263157895,34940
"519",1.62378947368421,34950
"520",1.63852631578947,34960
"521",1.65326315789474,34970
"522",1.668,34980
"523",1.68273684210526,34990
"524",1.69556140350877,35000
"525",1.69117543859649,35010
"526",1.68678947368421,35020
"527",1.68240350877193,35030
"528",1.67801754385965,35040
"529",1.67363157894737,35050
"530",1.66920689655172,35060
"531",1.66472413793103,35070
"532",1.66024137931034,35080
"533",1.65575862068966,35090
"534",1.65127586206897,35100
"535",1.64679310344828,35110
"536",1.64617073170732,35120
"537",1.64812195121951,35130
"538",1.65007317073171,35140
"539",1.6520243902439,35150
"540",1.65455555555556,35160
"541",1.65766666666667,35170
"542",1.66077777777778,35180
"543",1.66388888888889,35190
"544",1.667,35200
"545",1.67011111111111,35210
"546",1.67322222222222,35220
"547",1.67633333333333,35230
