Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31636	NSF-17-136	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag			y					
LACMP23-31637	NSF-17-137	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31638	NSF-17-138	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31639	NSF-17-139	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	broken molar	several frags		y					
LACMP23-31640	NSF-17-140	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
LACMP23-31641	NSF-17-141	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31642	NSF-17-142	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
LACMP23-31643	NSF-17-143	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-31644	NSF-17-144	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M3			y					
LACMP23-31645	NSF-17-145	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y					
LACMP23-31646	NSF-17-146	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31647	NSF-17-147	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31648	NSF-17-148	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31649	NSF-17-149	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31650	NSF-17-150	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
